player_id,player_name,draft_year,draft_pick,draft_round,draft_team,college_name,birth_date,age_at_draft,height_in,weight_lb,position,has_college_stats,coll_season,coll_class,coll_pos,coll_conf,coll_g,coll_mp_per_g,coll_pts_per_g,coll_trb_per_g,coll_ast_per_g,coll_stl_per_g,coll_blk_per_g,coll_tov_per_g,coll_fg_pct,coll_fg3_pct,coll_ft_pct,coll_efg_pct,coll_per,coll_ts_pct,coll_usg_pct,coll_bpm,career_seasons,career_g,career_ws,career_ws_per_48,career_bpm,career_vorp,peak_bpm,window_seasons,early_vorp_sum,early_bpm_mean,early_ws_sum,early_per_mean,outcome_tier
westda01,David West,2003,18,1,NOH,Xavier,1980-08-29,22.82,81.0,250.0,C,True,2002-03,SR,F,A-10,32.0,36.5,20.1,11.8,3.2,1.3,1.6,2.7,0.513,0.346,0.816,0.524,,0.6,,,15.0,1034.0,85.8,0.141,1.7,27.6,4.0,5,6.4,0.02,24.0,17.1,superstar
pavloal01,Sasha Pavlović,2003,19,1,UTA,,1983-11-15,19.61,80.0,220.0,SG,False,,,,,,,,,,,,,,,,,,,,,10.0,567.0,7.0,0.038,-3.4,-3.1,-0.8,5,-1.8,-3.54,5.5,8.78,bust
jonesda02,Dahntay Jones,2003,20,1,BOS,Duke,1980-12-27,22.49,78.0,225.0,SF,True,2002-03,SR,F,ACC,33.0,30.7,17.7,5.5,0.9,1.2,0.5,1.9,0.47,0.398,0.749,0.526,,0.572,26.2,,13.0,624.0,9.9,0.048,-3.7,-4.1,-0.6,5,-2.0,-4.14,2.2,8.64,bust
diawbo01,Boris Diaw,2003,21,1,ATL,,1982-04-16,21.19,80.0,250.0,PF,False,,,,,,,,,,,,,,,,,,,,,14.0,1064.0,51.6,0.086,0.1,15.5,2.8,5,5.0,-0.68,17.4,12.22,all_star
planizo01,Zoran Planinić,2003,22,1,NJN,,1982-09-12,20.79,79.0,195.0,PG,False,,,,,,,,,,,,,,,,,,,,,3.0,148.0,1.5,0.046,-3.5,-0.6,-1.0,3,-0.7,-3.37,1.6,9.8,bust
outlatr01,Travis Outlaw,2003,23,1,POR,,1984-09-18,18.77,81.0,210.0,SF,False,,,,,,,,,,,,,,,,,,,,,11.0,622.0,16.5,0.061,-1.4,2.1,1.4,5,1.7,-0.52,7.8,15.14,rotation
cookbr01,Brian Cook,2003,24,1,LAL,Illinois,1980-12-04,22.56,81.0,234.0,PF,True,2002-03,SR,F,Big Ten,30.0,31.3,20.0,7.6,2.0,0.7,0.4,2.8,0.479,0.303,0.82,0.511,,0.577,32.8,,9.0,421.0,10.2,0.086,-1.6,0.5,-0.1,5,1.1,-1.34,9.8,13.42,rotation
delfica01,Carlos Delfino,2003,25,1,DET,,1982-08-29,20.82,78.0,230.0,SF,False,,,,,,,,,,,,,,,,,,,,,8.0,507.0,22.5,0.093,0.5,7.2,1.5,5,1.6,-1.3,8.4,11.4,starter
ebind01,Ndudi Ebi,2003,26,1,MIN,,1984-06-18,19.02,81.0,200.0,SG,False,,,,,,,,,,,,,,,,,,,,,2.0,19.0,0.1,0.051,-3.8,0.0,-2.4,2,0.0,-4.3,0.1,13.55,bust
perkike01,Kendrick Perkins,2003,27,1,MEM,,1984-11-10,18.62,82.0,270.0,C,False,,,,,,,,,,,,,,,,,,,,,14.0,782.0,27.9,0.078,-1.9,0.6,0.7,5,0.8,-1.36,10.7,14.0,rotation
